pipeline,metric,judge_a,judge_b,n_common_items,spearman_r,p_value
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.6637588001161137,2.008453314796265e-07
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.7778067373578414,4.8703326131323955e-11
rag_classic:anthropic:k=1,factual_correctness_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.38845799238923884,0.005811234549646313
rag_classic:anthropic:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.751545272855673,4.894961882952604e-10
rag_classic:anthropic:k=1,factual_correctness_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.4558590139338511,0.000995941244954114
rag_classic:anthropic:k=1,factual_correctness_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.47652446669670817,0.0005375599420498232
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9210741526974321,7.00899290202077e-21
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8875455425740657,1.9704913397026026e-17
rag_classic:anthropic:k=1,grounding_ratio,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.7869911777640833,2.016222300721416e-11
rag_classic:anthropic:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o,49,0.854681300051308,5.590457399992698e-15
rag_classic:anthropic:k=1,grounding_ratio,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7745568838894848,6.58840994564851e-11
rag_classic:anthropic:k=1,grounding_ratio,openai/gpt-4o,openai/gpt-4o-mini,49,0.7951046317225187,8.917719144128027e-12
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,deepseek/deepseek-chat,49,0.9210741526974321,7.00899290202077e-21
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o,49,0.8875455425740657,1.9704913397026026e-17
rag_classic:anthropic:k=1,hallucination_rate,anthropic/claude-sonnet-4-20250514,openai/gpt-4o-mini,49,0.7869911777640833,2.016222300721416e-11
rag_classic:anthropic:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o,49,0.854681300051308,5.590457399992698e-15
rag_classic:anthropic:k=1,hallucination_rate,deepseek/deepseek-chat,openai/gpt-4o-mini,49,0.7745568838894848,6.58840994564851e-11
rag_classic:anthropic:k=1,hallucination_rate,openai/gpt-4o,openai/gpt-4o-mini,49,0.7951046317225187,8.917719144128027e-12
